TXN_DATE_TIME,TRANSACTION_ID,CUSTOMER_ID,POLICY_NUMBER,POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CUSTOMER_NAME,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,SSN,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,ROUTING_NUMBER,ACCT_NUMBER,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID,is_fraud,Dummy Policy No,ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,CORRESPONDENCECITY,CORRESPONDENCESTATE,CORRESPONDENCEPOSTCODE,Product Type,CHANNEL,Bank code,POLICYRISKCOMMENCEMENTDATE,Date of Death,INTIMATIONDATE,STATUS,SUB_STATUS,Fraud Category,transaction_hour
2020-06-01,TXN00000001,A00003822,PLC00008468,2015-06-23,2020-05-16,2020-05-21,Health,157.13,9000.0,Christopher Demarest,7701 West Saint John Road,#2010,Glendale,AZ,85308.0,087-11-1946,Y,54.0,89.0,Y,3.0,L,Own,LI,109134974.0,HXJP58258181908465,Bachelor,A,Major Loss,Police,0.0,1.0,GA,Savannah,4.0,AGENT00413,VNDR00556,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000002,A00008149,PLC00009594,2018-04-21,2020-05-13,2020-05-18,Property,141.71,26000.0,Ricardo Gatlin,8595 West 81st Drive,0,Arvada,CO,80005.0,685-33-3536,N,61.0,80.0,Y,4.0,L,Rent,MI,40125819.0,JUND46859540983731,Bachelor,A,Total Loss,Ambulance,1.0,0.0,AL,Montgomery,0.0,AGENT00769,VNDR00592,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000003,A00003172,PLC00007969,2019-10-03,2020-05-21,2020-05-26,Property,157.24,13000.0,Lashawn Engles,637 Britannia Drive,0,Vallejo,CA,94591.0,378-36-0672,N,47.0,68.0,Y,6.0,L,Rent,MI,99513168.0,WGZZ90128415227650,PhD,A,Total Loss,Police,0.0,1.0,CO,Grand Junction,19.0,AGENT00883,VNDR00031,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000004,A00007572,PLC00009292,2016-11-29,2020-05-14,2020-05-19,Health,172.87,16000.0,Steven Bassett,2803 River Drive,0,Thunderbolt,GA,31404.0,669-92-1861,Y,36.0,16.0,Y,7.0,L,Mortgage,MI,18429110.0,WIKE91555436351397,Masters,A,Minor Loss,Ambulance,0.0,0.0,GA,Savannah,12.0,AGENT00278,VNDR00075,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000005,A00008173,PLC00000204,2011-12-26,2020-05-17,2020-05-22,Travel,88.53,3000.0,Jason Rodriguez,7573 National Drive,0,Livermore,CA,94550.0,703-40-1033,Y,51.0,16.0,Y,2.0,M,Rent,HI,70752391.0,VYJW71311537294027,Masters,A,Major Loss,Police,0.0,1.0,TN,Nashville,18.0,AGENT00636,VNDR00472,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000006,A00003571,PLC00007244,2012-12-28,2020-05-20,2020-05-25,Life,87.02,63000.0,Terrance Han,5275 North 59th Avenue,0,Glendale,AZ,85301.0,059-08-4065,N,42.0,38.0,Y,2.0,M,Rent,MI,124246313.0,TMDB19464299963687,College,A,Major Loss,Ambulance,0.0,1.0,AZ,Glendale,0.0,AGENT00402,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000007,A00007245,PLC00002796,2012-10-26,2020-05-13,2020-05-18,Health,197.23,3000.0,Dennis Johnson,5119 Marla Drive,0,Panama City,FL,32404.0,539-25-2348,Y,61.0,20.0,Y,7.0,L,Rent,MI,72461648.0,ZCMU49563664563577,0,A,Major Loss,Police,1.0,1.0,CT,Manchester,10.0,AGENT00322,VNDR00150,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000008,A00004301,PLC00002925,2018-12-30,2020-05-14,2020-05-19,Motor,83.77,8000.0,Maryalice Martinez,6 Little Country Place,0,Savannah,GA,31406.0,791-66-5539,Y,35.0,97.0,Y,3.0,L,Rent,MI,89467431.0,ZLMN59372702463649,High School,A,Total Loss,Police,0.0,1.0,FL,Panama City Beach,10.0,AGENT00152,VNDR00326,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000009,A00004671,PLC00006886,2019-06-27,2020-05-21,2020-05-26,Motor,82.14,5000.0,Nicholas Hamilton,642 South 2nd Street,#608,Louisville,KY,40202.0,427-41-7221,N,27.0,118.0,Y,4.0,H,Mortgage,MI,107890252.0,EVZR61264221554624,Bachelor,A,Major Loss,Police,0.0,1.0,AZ,Glendale,22.0,AGENT00450,VNDR00437,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-06-01,TXN00000010,A00002020,PLC00007657,2015-12-19,2020-05-15,2020-05-20,Travel,71.29,4000.0,Nicholas Honokaupu,1914 Stratford Downs Drive,0,Montgomery,AL,36117.0,722-69-3392,Y,61.0,119.0,Y,4.0,L,Rent,HI,16215148.0,UXQB38236110828938,PhD,A,Major Loss,0,0.0,0.0,CA,San Leandro,4.0,AGENT00682,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0
